tmpID	Field ID	Description	abbreviation	machine_readable_name	name	description	alternative_names	group	subgroup
free cholesterol to total lipids in idl	23612	Free Cholesterol to Total Lipids in IDL percentage	IDL-FC %	IDL_FC_pct	IDL-FC %	Free cholesterol to total lipids ratio in IDL		Relative lipoprotein lipid concentrations	IDL ratios
free cholesterol to total lipids in large hdl	23637	Free Cholesterol to Total Lipids in Large HDL percentage	L-HDL-FC %	L_HDL_FC_pct	L-HDL-FC %	Free cholesterol to total lipids ratio in large HDL		Relative lipoprotein lipid concentrations	Large HDL ratios
free cholesterol to total lipids in large ldl	23617	Free Cholesterol to Total Lipids in Large LDL percentage	L-LDL-FC %	L_LDL_FC_pct	L-LDL-FC %	Free cholesterol to total lipids ratio in large LDL		Relative lipoprotein lipid concentrations	Large LDL ratios
free cholesterol to total lipids in large vldl	23592	Free Cholesterol to Total Lipids in Large VLDL percentage	L-VLDL-FC %	L_VLDL_FC_pct	L-VLDL-FC %	Free cholesterol to total lipids ratio in large VLDL		Relative lipoprotein lipid concentrations	Large VLDL ratios
free cholesterol to total lipids in medium hdl	23642	Free Cholesterol to Total Lipids in Medium HDL percentage	M-HDL-FC %	M_HDL_FC_pct	M-HDL-FC %	Free cholesterol to total lipids ratio in medium HDL		Relative lipoprotein lipid concentrations	Medium HDL ratios
free cholesterol to total lipids in medium ldl	23622	Free Cholesterol to Total Lipids in Medium LDL percentage	M-LDL-FC %	M_LDL_FC_pct	M-LDL-FC %	Free cholesterol to total lipids ratio in medium LDL		Relative lipoprotein lipid concentrations	Medium LDL ratios
free cholesterol to total lipids in medium vldl	23597	Free Cholesterol to Total Lipids in Medium VLDL percentage	M-VLDL-FC %	M_VLDL_FC_pct	M-VLDL-FC %	Free cholesterol to total lipids ratio in medium VLDL		Relative lipoprotein lipid concentrations	Medium VLDL ratios
free cholesterol to total lipids in small hdl	23647	Free Cholesterol to Total Lipids in Small HDL percentage	S-HDL-FC %	S_HDL_FC_pct	S-HDL-FC %	Free cholesterol to total lipids ratio in small HDL		Relative lipoprotein lipid concentrations	Small HDL ratios
free cholesterol to total lipids in small ldl	23627	Free Cholesterol to Total Lipids in Small LDL percentage	S-LDL-FC %	S_LDL_FC_pct	S-LDL-FC %	Free cholesterol to total lipids ratio in small LDL		Relative lipoprotein lipid concentrations	Small LDL ratios
free cholesterol to total lipids in small vldl	23602	Free Cholesterol to Total Lipids in Small VLDL percentage	S-VLDL-FC %	S_VLDL_FC_pct	S-VLDL-FC %	Free cholesterol to total lipids ratio in small VLDL		Relative lipoprotein lipid concentrations	Small VLDL ratios
free cholesterol to total lipids in very large hdl	23632	Free Cholesterol to Total Lipids in Very Large HDL percentage	XL-HDL-FC %	XL_HDL_FC_pct	XL-HDL-FC %	Free cholesterol to total lipids ratio in very large HDL		Relative lipoprotein lipid concentrations	Very large HDL ratios
free cholesterol to total lipids in very large vldl	23587	Free Cholesterol to Total Lipids in Very Large VLDL percentage	XL-VLDL-FC %	XL_VLDL_FC_pct	XL-VLDL-FC %	Free cholesterol to total lipids ratio in very large VLDL		Relative lipoprotein lipid concentrations	Very large VLDL ratios
free cholesterol to total lipids in very small vldl	23607	Free Cholesterol to Total Lipids in Very Small VLDL percentage	XS-VLDL-FC %	XS_VLDL_FC_pct	XS-VLDL-FC %	Free cholesterol to total lipids ratio in very small VLDL		Relative lipoprotein lipid concentrations	Very small VLDL ratios
glucose	23470	Glucose	Glucose	Glucose	Glucose	Glucose		Glycolysis related metabolites	Glycolysis related metabolites
glutamine	23461	Glutamine	Gln	Gln	Glutamine	Glutamine		Amino acids	Amino acids
